url,length_mi,elevation_gain_ft,estimated_time,route_type,description
https://www.alltrails.com/trail/us/alabama/lake-nicol-spillway--3,0.7,137,0.5–1hr,out & back,"Enjoy this 0.7-mile out-and-back trail near Tuscaloosa, Alabama. Generally considered an easy route, it takes an average of 20 min to complete. This trail is great for hiking, and it's unlikely you'll encounter many other people while exploring."
https://www.alltrails.com/trail/us/alabama/land-trust-loop,5.4,649,2–2.5hr,loop,"Head out on this 5.4-mile loop trail near Huntsville, Alabama. Generally considered a moderately challenging route, it takes an average of 2 h 14 min to complete. This trail is great for hiking, mountain biking, and running, and it's unlikely you'll encounter many other people while exploring. The trail is open year-round and is beautiful to visit anytime. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alabama/laurel-and-lost-falls-loop,2.4,206,0.5–1hr,loop,"Explore this 2.4-mile loop trail near Fort Payne, Alabama. Generally considered a moderately challenging route, it takes an average of 54 min to complete. This is a very popular area for camping and hiking, so you'll likely encounter other people while exploring. The trail is open year-round and is beautiful to visit anytime. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alabama/lizard-loop-from-ruffner-road,1.7,108,0.5–1hr,loop,"Explore this 1.7-mile loop trail near Birmingham, Alabama. Generally considered an easy route, it takes an average of 36 min to complete. This is a very popular area for hiking and walking, so you'll likely encounter other people while exploring. The trail is open year-round and is beautiful to visit anytime. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alabama/lizard-loop-via-buckeye-trail,4,528,1.5–2hr,loop,"Check out this 4.0-mile loop trail near Birmingham, Alabama. Generally considered a moderately challenging route, it takes an average of 1 h 41 min to complete. This is a very popular area for hiking, so you'll likely encounter other people while exploring. The trail is open year-round and is beautiful to visit anytime. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alabama/mccallum-park-trail,0.6,32,0.5–1hr,loop,"Try this 0.6-mile loop trail near Birmingham, Alabama. Generally considered an easy route, it takes an average of 12 min to complete. This trail is great for hiking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are July through May. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alabama/oak-mountain-foothills-trail-and-green-trail-loop,1.8,324,0.5–1hr,loop,"Experience this 1.8-mile loop trail near Pelham, Alabama. Generally considered an easy route, it takes an average of 51 min to complete. This is a very popular area for hiking, mountain biking, and running, so you'll likely encounter other people while exploring. The best times to visit this trail are January through July. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alabama/peavine-falls-via-green-and-white-trail-loop,1.5,311,0.5–1hr,loop,"This trail offers convenient parking access to the trailhead without having to drive too far into the park. You'll start with the Green Trail, which eventually connects to the White Trail and takes you right by the falls. Although there are a couple of challenging spots that might get your heart rate up, overall it's a very enjoyable hike. Keep in mind that the falls may be dry during certain seasons, so it's best to visit after heavy rainfall if you want to see them at their best."
https://www.alltrails.com/trail/us/alabama/pig-iron-loop,3.2,246,1–1.5hr,loop,"Explore this 3.2-mile loop trail near McCalla, Alabama. Generally considered a moderately challenging route, it takes an average of 1 h 10 min to complete. This trail is great for hiking and mountain biking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are January through November."
https://www.alltrails.com/trail/us/alabama/pinhoti-trail-porters-gap-to-adams-gap,15,2667,7–8hr,point to point,"Come prepared for a challenging hike as the trail is rocky, rugged, and requires a high level of fitness. You will encounter poison ivy along the way, so be cautious. Some sections of the trail have been impacted by fallen trees, but they are manageable to navigate around. It is important to note that there is a particularly risky section of the trail where you will need to navigate unstable rocks for a significant distance. Despite the challenges, the trail offers beautiful views that can be enjoyed from various points along the way."
https://www.alltrails.com/trail/us/alabama/pisgah-gorge,1.5,298,,out & back,"The Pisgah Gorge trail offers a scenic route through wooded areas and along the gorge's edge. Expect views of the gorge's rock formations and a beautiful waterfall, as well as some river views. It's a peaceful and quick trail, perfect for those looking to enjoy a quiet hike in nature with some nice vantage points along the way."
https://www.alltrails.com/trail/us/alabama/service-park-loop,0.9,95,0.5–1hr,loop,"This is a nice and peaceful walk through the Service Park forest close to the Tombigbee River- there is also access to the river at this park. There are not many views along the trail, however, there are many opportunities to view wildlife and wildflowers. The trail can become muddy during wet conditions and waterproof shoes are recommended."
https://www.alltrails.com/trail/us/alabama/silver-trail,0.7,104,0.5–1hr,out & back,"Explore this 0.7-mile out-and-back trail near Fort Payne, Alabama. Generally considered an easy route, it takes an average of 19 min to complete. This is a popular trail for camping, hiking, and running, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are March through June."
https://www.alltrails.com/trail/us/alabama/sipsey-loop-trail,11.3,859,4.5–5hr,loop,"This route features a mesmerizing waterfall and breathtaking views of Sipsey Canyon. Some sections of the trail are poorly maintained, so an offline map may be necessary for navigation. Despite these difficulties, the trail has some fantastic features, including the stunning East Bees Branch falls that are worth the hike. Towards the southern end, you'll encounter some beautiful and secluded areas."
https://www.alltrails.com/trail/us/alabama/smokerise-trail,3.9,590,1.5–2hr,out & back,"Explore this 3.9-mile out-and-back trail near Huntsville, Alabama. Generally considered a moderately challenging route, it takes an average of 1 h 44 min to complete. This is a popular trail for hiking, running, and walking, but you can still enjoy some solitude during quieter times of day. The trail is open year-round and is beautiful to visit anytime. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alabama/spring-trail,0.7,331,0.5–1hr,out & back,"About halfway down the trail, you'll encounter a spring that adds lovely feature to the hike. While the water flow isn’t particularly impressive in the summer, it becomes quite lively in the spring. There's a nice bench nearby where you can relax and enjoy the surroundings. 

Though this short trail features some elevation that increases the difficulty, it's manageable with a bit of extra time and effort."
https://www.alltrails.com/trail/us/alabama/sylaward-trail,16.9,954,6–6.5hr,out & back,"Get to know this 16.9-mile out-and-back trail near Sylacauga, Alabama. Generally considered a moderately challenging route, it takes an average of 5 h 47 min to complete. This is a popular trail for backpacking, camping, and hiking, but you can still enjoy some solitude during quieter times of day. The trail is open year-round and is beautiful to visit anytime. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alabama/terry-trail-and-bulldog-loop,2.8,265,1–1.5hr,loop,"This route features a pleasant and easy hike through a forested area where wildlife is abundant. This trail is intended to be multi-use and is shared by mountain bikers, horseback riders, and hikers.

For more information on the Chapman Mountain Nature Preserve and trails in the area, please visit their website at https://www.landtrustnal.org/properties/chapman-mountain-preserve/"
https://www.alltrails.com/trail/us/alabama/trillium-trail,0.5,72,0.5–1hr,loop,"Get to know this 0.5-mile loop trail near Birmingham, Alabama. Generally considered an easy route, it takes an average of 14 min to complete. This is a popular trail for birding, hiking, and walking, but you can still enjoy some solitude during quieter times of day. The trail is open year-round and is beautiful to visit anytime."
https://www.alltrails.com/trail/us/alabama/white-falls,5.9,583,2.5–3hr,out & back,"The first few segments of the White Falls are on system trails, 201 and 209. When 209 meets the Sipsey Fork, one must go off trail (although there is an impacted foot path, it is still considered off trail) and hike downstream and then go up the first drainage which is White Creek. One will then arrive at the falls and the upper falls is above that. 

Note that trying to reach the upper falls is VERY dangerous with one spot having a 30 foot drop off merely a few feet away."
https://www.alltrails.com/trail/us/alaska/alcantra-loop,1.2,118,0.5–1hr,loop,"Try this 1.2-mile loop trail near Wasilla, Alaska. Generally considered an easy route, it takes an average of 28 min to complete. This trail is great for hiking, running, and walking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are April through September. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alaska/alder,2.4,426,1–1.5hr,out & back,"Experience this 2.4-mile out-and-back trail near Anchorage, Alaska. Generally considered an easy route, it takes an average of 1 h 8 min to complete. This trail is great for hiking, running, and walking, and it's unlikely you'll encounter many other people while exploring. The trail is open year-round and is beautiful to visit anytime. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alaska/beach-lake-frozen-lake-trail,1.6,121,0.5–1hr,loop,This trail is closed. We'll update this page if and when it reopens.
https://www.alltrails.com/trail/us/alaska/big-whizzy-loop,1.7,269,0.5–1hr,loop,"Head out on this 1.7-mile loop trail near Fairbanks, Alaska. Generally considered an easy route, it takes an average of 46 min to complete. This is a popular trail for hiking, mountain biking, and snowshoeing, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are March through October. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alaska/breadline-bluff-trail,3,446,1–1.5hr,out & back,"Experience this 3.0-mile out-and-back trail near Juneau, Alaska. Generally considered an easy route, it takes an average of 1 h 19 min to complete. This trail is great for hiking and walking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are June through August."
https://www.alltrails.com/trail/us/alaska/china-poot-peak,4.2,1945,3.5–4hr,out & back,"Discover this 4.2-mile out-and-back trail near Homer, Alaska. Generally considered a challenging route, it takes an average of 3 h 16 min to complete. This trail is great for birding, camping, and hiking, and it's unlikely you'll encounter many other people while exploring."
https://www.alltrails.com/trail/us/alaska/eielson-alpine-trail--2,2.2,1066,1.5–2hr,out & back,"The Eielson Alpine Trail is a very steep hike of around 1,000 feet. The trail travels up to Thorofare Ridge. The views are particularly impressive on clear days! During the summer wildflowers are in bloom in the open meadows. Wildlife such as caribou and marmots can sometimes be spotted along the way."
https://www.alltrails.com/trail/us/alaska/finger-mountain,0.9,164,0.5–1hr,out & back,"Discover this 0.9-mile out-and-back trail near Stevens Village, Alaska. Generally considered an easy route, it takes an average of 26 min to complete. This trail is great for hiking, and it's unlikely you'll encounter many other people while exploring."
https://www.alltrails.com/trail/us/alaska/fish-creek,7.5,987,3–3.5hr,out & back,"Explore this 7.5-mile out-and-back trail near Juneau, Alaska. Generally considered a moderately challenging route, it takes an average of 3 h 10 min to complete. This trail is great for birding, hiking, and running, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are May through September."
https://www.alltrails.com/trail/us/alaska/fort-abercrombie-cliffs-loop-north,1.7,298,0.5–1hr,loop,"Fort Abercrombie State Historical Park is the historic ruins of a World War II coastal defense installation. Its trails travel the length of surf-pounded cliffs, below deep spruce forests, and through meadows bursting with wildflowers. This route stays to the north, passing through the campground and the Kodiak Military History Museum, which offers gorgeous views of the Gulf of Alaska."
https://www.alltrails.com/trail/us/alaska/gold-stream-winter-trail-and-lakes-loop,3.2,206,1–1.5hr,loop,"The Gold Stream Winter Trail is accessible year-round and travels through wetlands and a dense riparian environment. Although it is open year-round, there will be sections of this route that are boggy and impassable in the spring and summer. Stay alert for wildlife and expect many mosquitos along the trail."
https://www.alltrails.com/trail/us/alaska/hidden-creek-trail,2.9,413,1–1.5hr,loop,"The Hidden Creek Trail offers a peaceful hike through Alaskan wilderness, winding through forests and along the creek. The trail leads to a secluded spot on the shores of Skilak Lake, making it a perfect escape into nature. This is a great trail with its mix of beautiful forested paths and scenic views over the Alaskan wilderness. This is quite an active bear area, with mostly black bears, but grizzly bears do frequent this area."
https://www.alltrails.com/trail/us/alaska/hidden-lake-loop,0.7,118,0.5–1hr,loop,"Experience this 0.7-mile loop trail near Hoonah, Alaska. Generally considered an easy route, it takes an average of 19 min to complete. This trail is great for hiking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are June through August."
https://www.alltrails.com/trail/us/alaska/high-ridge-baird-and-long-lakes-loop,9.4,1253,4–4.5hr,loop,"Mat-Su College and Matanuska Lakes State Recreation Area host several trails through dense riparian forests. This route is a challenging and gorgeous loop, passing several lakes, including High Ridge, Baird, and Long Lakes. When recreating outdoors in Alaska, it is important to stay alert for wildlife and always carry bear spray."
https://www.alltrails.com/trail/us/alaska/indianhouse-ridge,4.1,3635,,out & back,"This is a challenging and beautiful trail to the beginning of Indianhouse Mountain's south ridge. It requires prior experience hiking in the alpine and knowledge of off-route navigation and scrambling. Be prepared for wildlife encounters and inclement weather at any time of year. Given the exposure to the elements for most of the hike, there is a small window of time in the summer when this can be hiked without threat of snow conditions or weather."
https://www.alltrails.com/trail/us/alaska/jewel-and-sand-lakes-loop,3.2,278,1–1.5hr,loop,"Jewel Lake has a small parking area with a sandy beach and a designated swimming area. A trail heads north from the park, offering access to Sundi and Sands Lakes. Sand Lake is a primary, year-round spot for outdoor recreation. The lake is open to walking, cycling, and running in the summer, and the city grooms a perimeter path in the winter for cross-country skiing. Ice fishing is also popular."
https://www.alltrails.com/trail/us/alaska/lingonberry-loop,1.4,206,0.5–1hr,loop,"Get to know this 1.4-mile loop trail near Ester, Alaska. Generally considered an easy route, it takes an average of 37 min to complete. This trail is great for hiking, snowshoeing, and running, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are May through September. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alaska/mount-riley-trail,5.1,1519,3–3.5hr,out & back,"Enjoy this 5.1-mile out-and-back trail near Haines, Alaska. Generally considered a moderately challenging route, it takes an average of 3 h 4 min to complete. This trail is great for hiking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are June through October. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/alaska/mouth-of-peters-creek-loop,0.8,65,0.5–1hr,loop,"The Mouth of Peter's Creek Park offers a short trail through dense riparian forest to the shores of Knik Arm. This is a popular place for fishing and recreating, and when the tide is low, you can hike along the beach. Be careful in the intertidal zone when the tide is low; it is very boggy and can behave like quicksand if you stand in it too long."
https://www.alltrails.com/trail/us/alaska/northwood-park,0.7,49,0.5–1hr,out & back,"Northwood Park is a small and scenic marshland surrounded by a dense neighborhood. It has a donut-shaped lake with unique brown water and a metal boardwalk that leads to a wildlife viewpoint. Two trails travel on the north and south perimeter of the park. There is always a chance for a wildlife encounter, and waterfowl are common here."
https://www.alltrails.com/trail/us/alaska/o-connor-view-middle-loop,1.8,288,0.5–1hr,loop,"This 3-km loop traverses a southwestern facing hillside with aspen-birch-spruce boreal forest, with nice views of the O’Connor Creek valley. The loop, which can be accessed from September Court, combines portions of the O’Connor Ridge Trail (green) and the middle portion of the O’Connor View Trail (yellow markers). The trail has an elevation range of 70 m and mostly has a gentle grade appropriate for intermediate level cross-country skiers. A portion of the trail traverses a north-facing black spruce woodland with thick moss that can be spongy in the summer. With a maximum elevation of around 485 m, it can be considerably warmer than the valley bottom on a cold winter afternoon. There are maps of the local trail network as various points along the trail. As there are many other trails in the area, it is best to have a GPS track of the trail. A map of the trail network can be downloaded at  https://www.interioralaskatrails.org/wp-content/uploads/2021/11/Oconnor-Ridge-Trails-Map-2021.pdf"
https://www.alltrails.com/trail/us/alaska/old-river-trail-and-moraine-lake-loop,2.2,203,0.5–1hr,out & back,"The Mendenhall Glacier Visitor Center allows access to gorgeous, wild trails through the riparian environment south of Mendenhall Lake. This route heads south on the Old River Trail to Moraine Lake, and follows a trail around the lake. Always be bear aware and stay alert for wildlife on the trails in Alaska."
https://www.alltrails.com/trail/us/alaska/pasagshak-point,5.1,1151,2.5–3hr,out & back,"Explore this 5.1-mile out-and-back trail near Kodiak, Alaska. Generally considered a moderately challenging route, it takes an average of 2 h 40 min to complete. This trail is great for hiking, and it's unlikely you'll encounter many other people while exploring. Dogs are welcome and may be off-leash in some areas."
https://www.alltrails.com/trail/us/alaska/petersburg-mountain-trail,7.3,3018,5.5–6hr,out & back,"Check out this 7.3-mile out-and-back trail near Kupreanof, Alaska. Generally considered a challenging route, it takes an average of 5 h 17 min to complete. This trail is great for backpacking and hiking, and it's unlikely you'll encounter many other people while exploring."
https://www.alltrails.com/trail/us/alaska/point-gustavus-via-beach-trail,12.5,577,,out & back,"The long stretch of shoreline south of the Bartlett Cove docks allows for a pleasant stroll. You could walk for miles. An extended hike to Point Gustavus (six miles one way) can be completed in a full day. Low tide reveals a myriad of intertidal life. (Please walk carefully!) It's a terrific place to see land, shore and sea birds. Listen for the breathing of humpback whales, feeding sea otters, and bald eagles. Flowers are profuse in mid-summer on the beach meadows. Let the magic of Glacier Bay surround you for an hour or even a full day."
https://www.alltrails.com/trail/us/alaska/rainforest-sanctuary-raptor-center-trail,1,160,0.5–1hr,out & back,"Check out this 1.0-mile out-and-back trail near Ketchikan, Alaska. Generally considered an easy route, it takes an average of 27 min to complete. This trail is great for birding, hiking, and walking, and it's unlikely you'll encounter many other people while exploring."
https://www.alltrails.com/trail/us/alaska/seaton-lake,1.7,144,0.5–1hr,loop,"Seaton Recreation Area is located along the Alaska Highway and offers a picnic pavilion and multiple trails, including an interpretive loop trail around Seaton Lake. This route loops around the lake and follows trails within the thick boreal forest.

Always be alert for wildlife on the trail and carry bear spray."
https://www.alltrails.com/trail/us/alaska/skookum-volcano-trail,4.2,1410,2.5–3hr,out & back,Follow along this trail as it winds through a valley of eroded volcanic activity and interesting geological features. Explore the jagged peaks in the distance created by Skookum Creek Volcano many years ago where volcanic ash and hot gasses flowed down the volcano to make the tan and gray rocks you see today.
https://www.alltrails.com/trail/us/alaska/skyline-ridge-after-hours-trail,2.8,511,1–1.5hr,loop,"Head out on this 2.8-mile loop trail near Fairbanks, Alaska. Generally considered a moderately challenging route, it takes an average of 1 h 20 min to complete. This trail is great for cross-country skiing, hiking, and horseback riding, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are May through October."
https://www.alltrails.com/trail/us/alaska/skyline-ridge-park-secret-trail,1.8,367,0.5–1hr,loop,"Head out on this 1.8-mile loop trail near Fairbanks, Alaska. Generally considered a moderately challenging route, it takes an average of 54 min to complete. This trail is great for hiking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are March through October."
https://www.alltrails.com/trail/us/alaska/summit-creek-trail,12.8,3238,7.5–8hr,out & back,"Explore this 12.8-mile out-and-back trail near Cooper Landing, Alaska. Generally considered a challenging route, it takes an average of 7 h 4 min to complete. This trail is great for birding and hiking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are June through August."
https://www.alltrails.com/trail/us/alaska/swede-lake,5.7,1181,3–3.5hr,out & back,"Discover this 5.7-mile out-and-back trail near Glennallen, Alaska. Generally considered a moderately challenging route, it takes an average of 2 h 52 min to complete. This trail is great for hiking, and it's unlikely you'll encounter many other people while exploring."
https://www.alltrails.com/trail/us/alaska/wasilla-creek-boardwalk,0.8,39,0.5–1hr,out & back,"The Wasilla Creek Boardwalk is just as it sounds: a half-mile-long boardwalk alongside the slow-moving Wasilla Creek that ends at a small viewing platform. The boardwalk is narrow—if someone is coming in the opposite direction, there will be a bit of a squeeze to move past them. Take caution, as the boardwalks can accumulate a thin layer of ice in colder weather, which is extremely slippery."
https://www.alltrails.com/trail/us/arizona/arnett-canyon-from-south,3.3,144,1–1.5hr,out & back,"This trail offers beautiful views as it winds through narrow paths among the wild grass and flora. The canyon surrounds the path and provides a stunning landscape with saguaros and cacti along the canyon walls. The trail requires several creek crossings, and there are shade trees around the creek. Be cautious of loose rocks and rocks that jut up from the ground.  Wearing hiking shoes or boots is advisable. The area is home to lizards, birds, and various wildlife. Parking is available in a small section on the west side of the road."
https://www.alltrails.com/trail/us/arizona/babes-hole-spring,5.1,1263,3–3.5hr,out & back,"Head out on this 5.1-mile out-and-back trail near Flagstaff, Arizona. Generally considered a moderately challenging route, it takes an average of 2 h 47 min to complete. This trail is great for birding, hiking, and running, and it's unlikely you'll encounter many other people while exploring."
https://www.alltrails.com/trail/us/arizona/buckelew-spring,1.2,141,0.5–1hr,out & back,Turn right on Vernon Rd. from U.S. 60 and head in to town until you reach FR1361 and turn left. Drive down the rd into the mountains a few miles. The rd turns in to rd. 61. You can take the 2nd heavily trafficked road to the right in between mile markers 1 and 2. If you reach a fork in the road you have gone slightly too far. Maybe about a half mile in you will reach a stream. Park somewhere and follow the stream up and you will find a cool waterfall... continue on up and you’ll find a 2nd smaller water fall that is right next to the rd. Enjoy the scenery :)
https://www.alltrails.com/trail/us/arizona/bull-spring-trail,16.2,4117,9–10hr,out & back,"Bull Spring Trail #34 is part of the Mazatal Wilderness Trail system and forms part of the Arizona Trail. This trail is accessible from the Doll Baby Trailhead and requires you to hike FR406 to get to the trail (No vehicles allowed).

Warning: This hike is very strenuous and requires a lot of time and water. The hike starts from the Doll Baby Trailhead and requires a 3.7 mile hike along FR406 before you get to the actual trail start point. Once on the trail, the first 1.5 miles is moderately level, then the 2 mile ascend begins to the top of the mountain. Once at the summit, views are great. It is difficult to find where Bull springs trail splits from the Arizona trail, but look for the Cairn to help find the trail. The trail then goes into more desolate landscape, with a few interesting points along the way to Bull Spring."
https://www.alltrails.com/trail/us/arizona/bulldog-canyon,14.9,1473,,out & back,"Please don't forget to grab a pass, as the gates are locked and codes are required to open them. For more information, please visit https://www.fs.usda.gov/recarea/tonto/recreation/camping-cabins/recarea/?recid=35555&actid=34.

It is recommended to use 4x4's and quads on the first wide sandy section. However, no motorized vehicles are permitted once you reach the hiking trail."
https://www.alltrails.com/trail/us/arizona/bunker-bar-trail,5.5,590,2–2.5hr,out & back,"Not very challenging, an easy trail due to the steady (not steep) grade, almost flat with a few hills. Bring lots of water as there is no shade and wear good ankle support since it’s all rocky/gravel. Popular with OHVs and dirt bikes. In some areas it’s loose and sinking feeling almost like sand. Fun to make it to the Bunker Bar for a refreshment before heading back."
https://www.alltrails.com/trail/us/arizona/cold-spring-trail-393,2.8,380,1–1.5hr,out & back,"This route starts at the Aspen Creek Trailhead Parking lot and takes you on a steady incline until the trail ends. It is in the Prescott National Forest and offers well-marked trails, beautiful scenery, and plenty of shade among pine trees. At times, this area can get muddy, so make sure you prepare beforehand."
https://www.alltrails.com/trail/us/arizona/continental-loop,2.1,98,0.5–1hr,loop,"This trail starts from the parking lot off Old Walnut Canyon Road. You'll encounter rocky paths, wooded areas, and meadows along the way. Bird enthusiasts may catch glimpses of species like the Mexican jay, red-tailed hawk, and various hummingbirds. This route has minimal shade, so stay hydrated and protect yourself from the sun."
https://www.alltrails.com/trail/us/arizona/cottonwood-springs-goldfields,11.5,833,4.5–5hr,loop,"Head out on this 11.5-mile loop trail near Apache Junction, Arizona. Generally considered a moderately challenging route, it takes an average of 4 h 8 min to complete. This trail is great for camping and hiking, and it's unlikely you'll encounter many other people while exploring. Dogs are welcome, but must be on a leash."
https://www.alltrails.com/trail/us/arizona/discovery-trail,7.1,226,2–2.5hr,out & back,"This trail is marked private for the Vistancia neighborhood only. Only residents and their guests are allowed access. For more information, visit: https://vistancia.com/life-at-vistancia/trail-parks/

This route is pretty flat, but there are enough curves and inclines to make it interesting. Be cautioned, this trail follows along a wash or waterway so changing weather conditions may influence this trail.

Accessibility: There are at least 2 designated accessible spaces in the paved parking lot off of Vistancia Boulevard at the south end of the trail. Both of them are van-accessible with striped access aisles. There does not appear to be a curb cut to access the trail at the start. The trail surface is paved concrete and smooth. It is typically at least 8 feet wide. 

The whole trail is estimated to be in the gentle (3% or less) grade category. This trail will likely be navigable for most wheelchairs/mobility equipment or stroller users. There are benches and picnic tables along the route for resting."
